"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–S -6.288, P–O -8.416, Li–S -1.751, Nd–S -4.080"
E_minus_EF_eV,-pCOHP_P-S,-pCOHP_P-O,-pCOHP_Li-S,-pCOHP_Nd-S
0.1503,0.00000,0.00000,0.00000,0.00000
0.2004,0.00000,0.00000,0.00000,0.00000
0.2505,0.00000,0.00000,0.00000,0.00000
0.3006,0.00000,0.00000,0.00000,0.00000
0.3508,-0.00000,0.00000,0.00000,0.00000
0.4009,-0.00055,-0.00000,0.00001,-0.00000
0.4510,-0.00488,-0.00003,0.00010,-0.00003
0.5011,-0.02681,-0.00017,0.00054,-0.00018
0.5512,-0.11603,-0.00075,0.00234,-0.00076
0.6013,-0.39639,-0.00258,0.00801,-0.00260
0.6514,-1.06979,-0.00695,0.02161,-0.00701
0.7015,-2.28170,-0.01483,0.04609,-0.01494
0.7516,-3.84554,-0.02499,0.07768,-0.02518
0.8017,-5.11849,-0.03326,0.10339,-0.03352
0.8518,-5.37509,-0.03493,0.10857,-0.03520
0.9020,-4.44773,-0.02890,0.08984,-0.02913
0.9521,-2.89587,-0.01882,0.05850,-0.01896
1.0022,-1.48137,-0.00963,0.02992,-0.00970
1.0523,-0.59454,-0.00386,0.01201,-0.00389
1.1024,-0.18706,-0.00123,0.00379,-0.00122
1.1525,-0.04800,-0.00061,0.00110,-0.00031
1.2026,-0.02100,-0.00197,0.00120,-0.00013
1.2527,-0.05981,-0.00919,0.00494,-0.00038
1.3028,-0.22352,-0.03477,0.01870,-0.00142
1.3529,-0.67383,-0.10350,0.05609,-0.00431
1.4030,-1.61874,-0.24218,0.13336,-0.01051
1.4532,-3.14927,-0.44594,0.25433,-0.02105
1.5033,-5.13555,-0.64973,0.40011,-0.03633
1.5534,-7.43559,-0.76118,0.54847,-0.05800
1.6035,-10.20107,-0.74798,0.70616,-0.09244
1.6536,-13.63165,-0.67702,0.89173,-0.15412
1.7037,-17.23907,-0.64727,1.06120,-0.26851
1.7538,-19.73422,-0.70544,1.08099,-0.47157
1.8039,-20.08093,-0.84416,0.83286,-0.78866
1.8540,-18.52678,-1.04055,0.35670,-1.18834
1.9041,-16.19869,-1.24487,-0.15487,-1.56159
1.9543,-13.78687,-1.35562,-0.52768,-1.78828
2.0044,-11.15012,-1.28383,-0.74564,-1.85809
2.0545,-8.21557,-1.06482,-0.91704,-1.91702
2.1046,-5.64543,-0.85605,-1.14134,-2.16236
2.1547,-4.36287,-0.79616,-1.41613,-2.66879
2.2048,-4.77106,-0.88973,-1.65907,-3.33853
2.2549,-6.58992,-1.04757,-1.82005,-4.05299
2.3050,-9.19321,-1.22076,-1.93620,-4.81667
2.3551,-11.91944,-1.47184,-2.02976,-5.65532
2.4052,-14.22184,-1.89947,-2.01322,-6.42999
2.4553,-15.79358,-2.48283,-1.79469,-6.91341
2.5055,-16.65971,-3.00935,-1.44167,-7.05292
2.5556,-17.07021,-3.20993,-1.14746,-7.00729
2.6057,-17.23835,-3.00977,-1.05193,-6.89516
2.6558,-17.19834,-2.61842,-1.15864,-6.64127
2.7059,-16.86027,-2.34199,-1.40278,-6.11432
2.7560,-16.10839,-2.34773,-1.74540,-5.31725
2.8061,-14.94945,-2.65365,-2.21361,-4.40174
2.8562,-13.76842,-3.29629,-2.88092,-3.56777
2.9063,-13.35860,-4.36906,-3.77827,-2.97154
2.9564,-14.32897,-5.78511,-4.78333,-2.66130
3.0065,-16.34872,-7.09122,-5.63522,-2.56022
3.0566,-18.29676,-7.76395,-6.14103,-2.53765
3.1067,-19.44161,-7.79011,-6.39439,-2.52081
3.1569,-20.26205,-7.76263,-6.72838,-2.52789
3.2070,-21.68423,-8.21009,-7.36561,-2.58912
3.2571,-23.57067,-8.94419,-8.12926,-2.66298
3.3072,-24.48767,-9.30152,-8.59981,-2.66743
3.3573,-23.18977,-9.00102,-8.59229,-2.59573
3.4074,-19.98332,-8.49811,-8.40199,-2.55815
3.4575,-16.34545,-8.42245,-8.55895,-2.67669
3.5076,-13.44665,-8.87435,-9.41658,-2.95845
3.5577,-11.39444,-9.39877,-11.00683,-3.32068
3.6078,-9.75171,-9.54267,-13.15436,-3.72826
3.6580,-8.30756,-9.32103,-15.58619,-4.23717
3.7081,-7.20441,-9.14212,-17.97844,-4.88426
3.7582,-6.60147,-9.34507,-20.03782,-5.59094
3.8083,-6.45091,-9.82907,-21.57600,-6.20639
3.8584,-6.54623,-10.09342,-22.49662,-6.60640
3.9085,-6.66531,-9.64152,-22.79697,-6.75188
3.9586,-6.68463,-8.39687,-22.64702,-6.72295
4.0087,-6.62880,-6.78363,-22.35911,-6.69820
4.0588,-6.64962,-5.43692,-22.21168,-6.83547
4.1089,-6.93606,-4.79282,-22.36655,-7.16465
4.1590,-7.57809,-4.85106,-22.89010,-7.59804
4.2092,-8.44745,-5.25660,-23.68528,-7.98379
4.2593,-9.23237,-5.61575,-24.54630,-8.18072
4.3094,-9.65915,-5.76428,-25.56999,-8.23540
4.3595,-9.66320,-5.75767,-27.29639,-8.46643
4.4096,-9.30971,-5.66123,-30.00703,-9.16168
4.4597,-8.65231,-5.43475,-33.06213,-10.15788
4.5098,-7.76562,-5.02408,-35.36434,-10.88401
4.5599,-6.82753,-4.48101,-36.36338,-10.86128
4.6100,-6.04255,-3.94345,-36.30213,-10.07880
4.6601,-5.48548,-3.52610,-35.66537,-8.91229
4.7102,-5.08321,-3.25028,-34.73458,-7.79948
4.7603,-4.76672,-3.06223,-33.66051,-7.00532
4.8105,-4.59279,-2.90779,-32.68594,-6.58688
4.8606,-4.64759,-2.78223,-32.02145,-6.46194
4.9107,-4.85192,-2.70786,-31.50262,-6.47061
4.9608,-4.96833,-2.68844,-30.73246,-6.46069
5.0109,-4.84308,-2.71068,-29.78520,-6.43457
5.0610,-4.56632,-2.76831,-29.49028,-6.59798
5.1111,-4.34438,-2.84113,-30.65920,-7.14289
5.1612,-4.27091,-2.86180,-33.07552,-7.95491
5.2113,-4.27264,-2.75729,-35.48070,-8.62177
5.2614,-4.22538,-2.52713,-36.54518,-8.75601
5.3116,-4.05317,-2.24128,-35.75145,-8.26669
5.3617,-3.73994,-1.96523,-33.49319,-7.35583
5.4118,-3.32552,-1.72343,-30.68100,-6.36142
5.4619,-2.91893,-1.52932,-28.41410,-5.62399
5.5120,-2.66566,-1.40847,-27.66518,-5.37261
5.5621,-2.64836,-1.37918,-28.73619,-5.59991
5.6122,-2.81811,-1.43119,-30.90420,-6.03016
5.6623,-3.05099,-1.53550,-32.88993,-6.28640
5.7124,-3.27225,-1.66642,-33.79636,-6.15431
5.7625,-3.50260,-1.80814,-33.52794,-5.71244
5.8126,-3.78821,-1.94791,-32.47637,-5.23196
5.8628,-4.11717,-2.06671,-31.11058,-4.96084
5.9128,-4.41224,-2.12990,-29.81631,-4.95715
5.9630,-4.59487,-2.09870,-28.87648,-5.08780
6.0131,-4.65172,-1.97211,-28.52022,-5.18817
6.0632,-4.62913,-1.80822,-28.96392,-5.22381
6.1133,-4.55807,-1.68019,-30.26115,-5.28928
6.1634,-4.41415,-1.61859,-32.12611,-5.49068
6.2135,-4.16463,-1.60518,-34.05539,-5.86754
6.2636,-3.82556,-1.60265,-35.59663,-6.37844
6.3137,-3.45809,-1.57694,-36.37896,-6.88143
6.3638,-3.13440,-1.51170,-36.06148,-7.15863
6.4139,-2.91995,-1.42593,-34.61017,-7.07163
6.4641,-2.86351,-1.37584,-32.69197,-6.73021
6.5142,-2.96681,-1.41599,-31.47914,-6.43461
6.5643,-3.15692,-1.54503,-31.78452,-6.39860
6.6144,-3.30514,-1.69584,-33.36042,-6.55072
6.6645,-3.29554,-1.78806,-35.11072,-6.62344
6.7146,-3.09791,-1.78926,-35.97864,-6.41133
6.7647,-2.78364,-1.72703,-35.62753,-5.93885
6.8148,-2.46668,-1.65569,-34.41472,-5.41408
6.8649,-2.23114,-1.62450,-33.01033,-5.07173
6.9150,-2.11019,-1.66327,-32.13003,-5.05679
6.9651,-2.10431,-1.76929,-32.36617,-5.37667
7.0152,-2.19180,-1.89973,-33.87296,-5.87922
7.0654,-2.32308,-1.99430,-36.06180,-6.29563
7.1155,-2.42529,-2.01883,-37.80274,-6.39913
7.1656,-2.43778,-1.99104,-38.25253,-6.17580
7.2157,-2.35784,-1.96485,-37.54291,-5.83264
7.2658,-2.24638,-1.98526,-36.49204,-5.62680
7.3159,-2.17206,-2.05247,-35.67348,-5.66890
7.3660,-2.14647,-2.12971,-35.01550,-5.85147
7.4161,-2.11992,-2.17728,-34.27999,-5.94639
7.4662,-2.04062,-2.16747,-33.53985,-5.79475
7.5163,-1.91115,-2.07815,-32.97983,-5.42666
7.5664,-1.78194,-1.89866,-32.50287,-5.01605
7.6166,-1.69680,-1.65168,-31.85814,-4.75364
7.6667,-1.66081,-1.39691,-31.07788,-4.76723
7.7168,-1.66098,-1.19833,-30.53640,-5.10013
7.7669,-1.69050,-1.08457,-30.53170,-5.69405
7.8170,-1.73441,-1.04467,-30.88062,-6.37050
7.8671,-1.74923,-1.05346,-30.88485,-6.85054
7.9172,-1.67773,-1.07869,-29.61458,-6.83730
7.9673,-1.48263,-1.06442,-26.33471,-6.14816
8.0174,-1.17114,-0.94759,-20.98480,-4.84634
