E_eV,E_minus_Ef,total_dos,Li,P,S,Cl,O,Nd
-39.5760,-43.4070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5660,-43.3970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5560,-43.3870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5460,-43.3770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5360,-43.3670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5260,-43.3570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5160,-43.3470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5060,-43.3370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4960,-43.3270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4860,-43.3170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4760,-43.3070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4660,-43.2970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4560,-43.2870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4460,-43.2770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4360,-43.2670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4260,-43.2570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4160,-43.2470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.4060,-43.2370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3960,-43.2270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3860,-43.2170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3760,-43.2070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3660,-43.1970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3560,-43.1870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3460,-43.1770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3360,-43.1670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3260,-43.1570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3160,-43.1470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.3060,-43.1370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.2960,-43.1270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.2860,-43.1170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.2760,-43.1070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.2660,-43.0970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.2560,-43.0870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
